[(12, 5), -23, 898, 54, 4, 4, 5, 4, 0, 189] -> [(5, 12), -23, 898, 54, 4, 4, 5, 4, 0, 189]

[5, (12, -23), 898, 54, 4, 4, 5, 4, 0, 189] -> [5, (-23, 12), 898, 54, 4, 4, 5, 4, 0, 189]

[5, -23, (12, 898), 54, 4, 4, 5, 4, 0, 189] -> [5, -23, (12, 898), 54, 4, 4, 5, 4, 0, 189]

[5, -23, 12, (898, 54), 4, 4, 5, 4, 0, 189] -> [5, -23, 12, (54, 898), 4, 4, 5, 4, 0, 189]

[5, -23, 12, 54, (898, 4), 4, 5, 4, 0, 189] -> [5, -23, 12, 54, 4, (898, 4), 5, 4, 0, 189]

[5, -23, 12, 54,  4, 4, 898, 5, 4, 0, 189] -> [5, -23, 12, 54,  4, 4, (898, 5), 4, 0, 189]

[5, -23, 12, 54,  4, 4, 5, (898, 4), 0, 189] -> [5, -23, 12, 54,  4, 4, 5, (898, 4), 0, 189]

[5, -23, 12, 54,  4, 4, 5, (4, 898), 0, 189] -> [5, -23, 12, 54,  4, 4, 5, 4, (898, 0), 189]

[5, -23, 12, 54,  4, 4, 5, 4, 0, (898, 189)] -> [5, -23, 12, 54,  4, 4, 5, 4, 0, 189, 898]





